ID_HERO,NAMA_HERO,CLASS,ROLE,DASH/BLINK,ROTATION SPEED,ESCAPE CAPABILITY,FLEXIBILITY,MOBILITY
H072,KHUFRA,TANK,ROAMING,3,3,3,3,
H073,KIMMY,"MAGE, MARKSMAN","GOLD LANE, MID LANE",2,3,3,3,
H074,LANCELOT,ASSASSIN,JUNGLING,4,4,4,4,
H075,LAPU-LAPU,FIGHTER,EXP LANE,4,4,4,4,
H076,LAYLA,MARKSMAN,GOLD LANE,1,2,1,1,
H077,LEOMORD,FIGHTER,JUNGLING,4,3,4,4,
H078,LESLEY,MARKSMAN,GOLD LANE,1,2,1,1,
H079,LING,ASSASSIN,JUNGLING,4,4,4,4,
H080,LOLITA,"SUPPORT, TANK",ROAMING,3,3,3,3,
H081,LOU YI,MAGE,MID LANE,1,5,2,4,
H082,LUKAS,FIGHTER,"EXP LANE, JUNGLING",4,4,4,4,
H083,LUNOX,MAGE,MID LANE,2,3,3,4,
H084,LYLIA,MAGE,MID LANE,2,3,3,3,
H085,MARCEL,SUPPORT,ROAMING,5,5,5,5,
H086,MARTIS,FIGHTER,JUNGLING,3,3,3,4,
H087,MASHA,"FIGHTER, TANK",EXP LANE,2,3,1,4,
H088,MATHILDA,"ASSASSIN, SUPPORT",ROAMING,5,4,5,5,
H089,MELISSA,MARKSMAN,GOLD LANE,2,2,1,2,
H090,MINOTAUR,"SUPPORT, TANK",ROAMING,2,3,2,3,
H091,MINSITTHAR,FIGHTER,"EXP LANE, ROAMING",2,3,2,3,
H092,MIYA,MARKSMAN,GOLD LANE,2,3,3,4,
H093,MOSKOV,MARKSMAN,GOLD LANE,3,5,4,4,
H094,NANA,MAGE,MID LANE,1,3,1,3,
H095,NATALIA,ASSASSIN,"JUNGLING, ROAMING",2,2,2,2,
H096,NATAN,MARKSMAN,GOLD LANE,3,3,3,3,
H097,NOLAN,ASSASSIN,JUNGLING,5,4,5,5,
H098,NOVARIA,MAGE,MID LANE,2,3,2,3,
H099,OBSIDIA,MARKSMAN,GOLD LANE,2,2,3,2,
H100,ODETTE,MAGE,MID LANE,2,3,1,3,
H101,PAQUITO,FIGHTER,EXP LANE,2,3,3,3,
H102,PHARSA,MAGE,MID LANE,3,3,4,4,
H103,PHOVEUS,FIGHTER,EXP LANE,1,3,2,4,
H104,POPOL AND KUPA,MARKSMAN,"GOLD LANE, JUNGLING",1,2,1,1,
H105,RAFAELA,SUPPORT,ROAMING,2,2,1,2,
H106,ROGER,"FIGHTER, MARKSMAN",JUNGLING,3,3,3,4,
H107,RUBY,FIGHTER,EXP LANE,3,3,3,4,
H108,SABER,ASSASSIN,"JUNGLING, ROAMING",2,2,1,2,
H109,SELENA,"ASSASSIN, MAGE","JUNGLING, MID LANE, ROAMING",3,3,4,4,
H110,SILVANNA,FIGHTER,EXP LANE,2,2,2,2,
H111,SORA,FIGHTER,EXP LANE,3,3,3,4,
H112,SOYOU,"ASSASSIN, FIGHTER",JUNGLING,3,4,3,4,
H113,SUN,FIGHTER,"EXP LANE, JUNGLING",3,2,3,3,
H114,TERIZLA,"FIGHTER, TANK",EXP LANE,2,3,2,3,
H115,THAMUZ,FIGHTER,EXP LANE,2,2,2,3,
H116,TIGREAL,TANK,ROAMING,2,3,2,3,
H117,URANUS,TANK,EXP LANE,2,3,2,3,
H118,VALE,MAGE,MID LANE,1,2,1,1,
H119,VALENTINA,MAGE,MID LANE,2,3,2,3,
H120,VALIR,MAGE,MID LANE,1,2,2,2,
H121,VEXANA,MAGE,MID LANE,1,3,1,3,
H122,WANWAN,MARKSMAN,GOLD LANE,2,2,3,3,
H123,X BORG,FIGHTER,EXP LANE,2,3,3,3,
H124,XAVIER,MAGE,MID LANE,1,2,1,1,
H125,YI SUNSHIN,"ASSASSIN, MARKSMAN",JUNGLING,5,4,5,5,
H126,YIN,"ASSASSIN, FIGHTER","EXP LANE, JUNGLING",2,2,3,2,
H127,YUZHONG,FIGHTER,EXP LANE,3,3,3,3,
H128,YVE,MAGE,MID LANE,1,3,2,3,
H129,ZETIAN,MAGE,MID LANE,1,3,2,3,
H130,ZHASK,MAGE,MID LANE,2,2,2,2,
H131,ZHUXIN,MAGE,MID LANE,3,3,4,4,
H132,ZILONG,FIGHTER,EXP LANE,2,2,3,2,
